qx, qy, qz, qw, ax, ay, az, gx, gy, gz
5020,-687,-6806,14015,387,-1516,1343,-10,-4,-1
5019,-687,-6809,14014,375,-1518,1343,-19,-9,1
5019,-687,-6813,14012,381,-1524,1342,-22,-4,-2
5019,-687,-6813,14012,381,-1532,1352,-11,-1,-1
5019,-687,-6813,14012,382,-1529,1354,-2,-1,-6
5019,-687,-6813,14012,385,-1529,1357,2,1,-6
5019,-687,-6813,14013,381,-1521,1358,7,8,-1
5019,-687,-6813,14013,382,-1525,1349,3,6,-3
5019,-686,-6813,14013,383,-1524,1354,2,-1,-1
5019,-686,-6812,14013,377,-1522,1351,5,-2,1
5019,-686,-6812,14013,381,-1527,1346,2,3,-4
5019,-686,-6813,14012,383,-1538,1339,2,-3,-3
5019,-686,-6813,14013,379,-1522,1356,1,0,1
5019,-686,-6812,14013,381,-1518,1349,-8,1,2
5019,-688,-6814,14012,371,-1523,1351,-18,2,-3
5019,-688,-6814,14011,382,-1537,1353,-12,-1,-2
5019,-688,-6815,14011,381,-1534,1339,-2,-4,0
5019,-688,-6815,14011,386,-1530,1357,10,-2,-2
5019,-688,-6814,14011,382,-1518,1353,-6,-1,2
5019,-688,-6817,14010,386,-1513,1346,-24,-3,4
5019,-688,-6822,14008,385,-1525,1333,-27,-2,-1
5019,-688,-6823,14008,378,-1541,1340,-10,0,1
5019,-689,-6823,14008,379,-1532,1342,-2,-4,4
5019,-688,-6823,14008,384,-1526,1344,-3,-2,4
5019,-688,-6823,14008,381,-1543,1352,-9,2,-1
5019,-689,-6823,14007,380,-1545,1339,-2,6,0
5019,-688,-6819,14009,375,-1515,1355,16,4,1
5019,-688,-6819,14009,381,-1521,1358,13,-3,-2
5019,-688,-6818,14010,384,-1519,1357,3,-1,-1
5020,-688,-6821,14008,382,-1517,1356,-22,-4,-2
5020,-688,-6821,14008,383,-1526,1338,-16,-2,-2
5020,-688,-6821,14008,391,-1545,1345,-6,1,-1
5020,-688,-6821,14008,376,-1534,1333,5,2,1
5021,-687,-6819,14009,384,-1530,1344,18,5,-3
5022,-687,-6813,14011,375,-1513,1359,21,8,-3
5022,-687,-6813,14011,380,-1516,1359,-5,3,-1
5022,-686,-6813,14011,388,-1531,1355,-8,2,-5
5022,-687,-6813,14011,382,-1545,1353,11,6,-1
5023,-686,-6810,14012,381,-1536,1341,27,7,-5
5025,-684,-6805,14014,383,-1527,1345,34,5,-4
5026,-683,-6799,14017,381,-1519,1355,29,6,-5
5026,-683,-6800,14016,389,-1529,1337,14,3,-10
5027,-681,-6798,14017,380,-1530,1345,16,-4,-8
5028,-678,-6798,14017,381,-1543,1336,18,-12,-13
5031,-672,-6793,14018,387,-1544,1340,48,-10,-22
5036,-668,-6789,14018,392,-1560,1330,49,6,-36
5045,-664,-6786,14017,410,-1553,1329,44,15,-46
5056,-665,-6779,14017,368,-1572,1354,53,40,-65
5071,-661,-6754,14023,365,-1489,1390,122,43,-71
5083,-655,-6741,14025,376,-1484,1382,62,18,-65
5094,-648,-6733,14026,408,-1528,1390,54,7,-58
5098,-643,-6716,14032,402,-1491,1395,85,13,-15
5099,-642,-6715,14033,395,-1445,1386,10,11,9
5109,-631,-6721,14027,468,-1458,1356,-31,-11,-51
5105,-636,-6734,14022,415,-1540,1384,-79,0,21
5105,-641,-6745,14017,401,-1524,1366,-71,7,6
5109,-644,-6760,14007,429,-1588,1353,-71,14,-29
5116,-648,-6767,14002,440,-1594,1347,-17,44,-22
5127,-653,-6763,13999,441,-1533,1359,9,73,-32
5145,-660,-6762,13992,463,-1593,1383,2,99,-63
5167,-669,-6745,13992,453,-1617,1346,116,147,-64
5196,-676,-6721,13993,481,-1536,1347,126,172,-89
5234,-671,-6699,13989,595,-1547,1336,146,180,-116
5276,-654,-6647,13999,586,-1502,1346,328,178,-139
5323,-632,-6585,14012,580,-1380,1358,357,177,-159
5373,-614,-6541,14014,567,-1393,1371,243,172,-201
5424,-601,-6505,14012,559,-1362,1388,177,173,-202
5476,-590,-6483,14002,525,-1312,1393,70,144,-230
5531,-577,-6470,13987,494,-1295,1369,27,120,-276
5588,-566,-6467,13966,484,-1290,1374,-37,107,-301
5645,-562,-6468,13943,448,-1330,1420,-79,112,-308
5702,-561,-6472,13918,449,-1405,1399,-71,119,-322
5763,-559,-6466,13896,438,-1416,1398,-3,137,-338
5829,-558,-6455,13874,468,-1456,1423,28,171,-358
5896,-568,-6444,13850,422,-1407,1497,-44,198,-353
5962,-586,-6444,13820,416,-1417,1428,-98,214,-352
6027,-615,-6452,13787,414,-1496,1490,-155,241,-344
6092,-645,-6453,13757,435,-1487,1470,-115,267,-319
6154,-681,-6450,13729,417,-1446,1498,-135,293,-292
6218,-719,-6454,13696,420,-1384,1475,-199,292,-301
6280,-762,-6462,13662,406,-1440,1419,-188,306,-293
6346,-805,-6467,13627,442,-1465,1432,-172,335,-301
6413,-851,-6460,13596,416,-1451,1435,-121,363,-292
6479,-896,-6448,13567,407,-1377,1423,-114,369,-282
6543,-944,-6446,13534,374,-1391,1397,-164,353,-286
6610,-989,-6445,13499,404,-1398,1424,-172,345,-302
6680,-1033,-6444,13461,425,-1463,1455,-163,361,-323
6754,-1079,-6440,13423,400,-1414,1464,-177,373,-338
6828,-1129,-6441,13381,422,-1430,1433,-202,391,-338
6905,-1186,-6447,13333,417,-1407,1519,-299,408,-340
6985,-1251,-6450,13284,380,-1416,1453,-276,460,-355
7069,-1327,-6451,13232,395,-1349,1468,-335,527,-344
7159,-1416,-6441,13179,358,-1327,1455,-321,619,-341
7259,-1526,-6435,13115,327,-1358,1448,-397,724,-384
7362,-1657,-6442,13037,333,-1411,1450,-525,804,-387
7462,-1800,-6453,12956,233,-1415,1452,-589,813,-389
7568,-1940,-6469,12866,233,-1583,1416,-559,809,-466
7673,-2062,-6478,12780,289,-1701,1408,-432,771,-463
7770,-2163,-6472,12708,322,-1668,1407,-302,705,-414
7859,-2248,-6460,12644,343,-1686,1388,-213,641,-369
7939,-2322,-6435,12593,332,-1570,1334,-123,601,-309
8019,-2377,-6415,12543,379,-1567,1286,-73,528,-327
8099,-2407,-6382,12502,400,-1478,1244,58,461,-327
8178,-2425,-6349,12464,409,-1352,1214,66,412,-336
8242,-2459,-6352,12414,409,-1452,1248,-144,352,-301
8294,-2495,-6362,12366,384,-1460,1295,-206,297,-264
8342,-2522,-6371,12324,376,-1517,1271,-143,249,-254
8374,-2563,-6404,12277,347,-1636,1281,-279,194,-213
8416,-2583,-6414,12239,327,-1567,1297,-126,176,-259
8454,-2604,-6424,12202,324,-1591,1292,-117,170,-244
8479,-2642,-6452,12163,322,-1598,1273,-255,163,-175
8493,-2699,-6489,12120,290,-1653,1299,-371,180,-121
8512,-2756,-6531,12071,256,-1550,1151,-380,182,-163
8526,-2836,-6593,12009,221,-1690,1170,-536,207,-181
8545,-2892,-6635,11959,302,-1720,1202,-366,191,-162
8562,-2944,-6669,11915,276,-1548,1127,-347,185,-137
8586,-3010,-6712,11857,291,-1634,1142,-429,250,-182
8608,-3079,-6746,11804,324,-1781,1220,-392,281,-141
8633,-3122,-6763,11765,370,-1823,1150,-172,238,-132
8655,-3164,-6747,11747,279,-1729,1187,-41,267,-57
8683,-3199,-6723,11730,288,-1706,1248,-11,286,-74
8718,-3216,-6693,11717,255,-1591,1318,17,219,-136
8741,-3239,-6706,11686,223,-1561,1244,-209,107,-180
8757,-3268,-6748,11642,250,-1626,1214,-349,50,-206
8753,-3304,-6814,11596,319,-1753,1155,-443,-15,-125
8748,-3318,-6857,11570,348,-1703,1161,-262,-48,-71
8754,-3319,-6879,11552,344,-1700,1150,-105,-23,-99
8771,-3315,-6895,11531,395,-1752,1173,-63,16,-137
8782,-3315,-6907,11515,397,-1715,1154,-56,23,-87
8784,-3319,-6918,11506,357,-1726,1127,-43,1,-41
8786,-3310,-6921,11505,356,-1748,1120,52,-31,-37
8791,-3282,-6906,11519,371,-1746,1134,218,-64,-28
8797,-3233,-6869,11550,364,-1684,1200,374,-99,-1
8802,-3178,-6823,11589,367,-1702,1240,436,-115,14
8803,-3121,-6776,11631,358,-1631,1265,431,-128,44
8809,-3056,-6730,11670,392,-1436,1227,410,-141,21
8824,-3001,-6693,11695,408,-1581,1261,368,-91,-56
8821,-2959,-6662,11725,381,-1619,1277,303,-110,43
8817,-2917,-6627,11758,390,-1538,1289,312,-105,69
8818,-2885,-6592,11785,375,-1593,1316,275,-49,38
8822,-2857,-6564,11804,395,-1589,1297,242,-32,16
8832,-2834,-6541,11815,401,-1596,1291,201,-5,-28
8845,-2813,-6517,11824,405,-1540,1290,180,17,-34
8855,-2794,-6489,11836,372,-1480,1326,165,12,-12
8863,-2773,-6465,11849,359,-1457,1337,151,-15,-15
8868,-2750,-6450,11858,376,-1469,1353,105,-49,-21
8871,-2737,-6450,11859,384,-1524,1341,18,-50,-38
8877,-2728,-6454,11854,388,-1559,1323,3,-30,-60
8884,-2719,-6454,11851,401,-1580,1308,40,-13,-54
8891,-2707,-6446,11853,407,-1559,1312,81,-6,-35
8896,-2695,-6434,11858,397,-1540,1350,86,-6,-19
8899,-2685,-6428,11862,404,-1561,1338,66,-20,-16
8900,-2679,-6429,11861,410,-1543,1306,21,-17,-12
8903,-2675,-6428,11861,404,-1562,1322,21,-1,-18
8908,-2662,-6410,11870,403,-1530,1352,123,6,1
8913,-2644,-6380,11887,409,-1540,1361,209,15,26
8913,-2623,-6353,11906,376,-1483,1367,190,-29,35
8909,-2602,-6337,11921,370,-1432,1337,126,-66,30
8905,-2586,-6340,11926,386,-1485,1399,9,-94,-5
8894,-2577,-6360,11926,440,-1503,1417,-102,-116,29
8881,-2580,-6362,11934,482,-1701,1378,39,-4,96
8868,-2592,-6329,11959,419,-1646,1333,192,110,182
8856,-2611,-6302,11978,339,-1476,1338,71,105,157
8841,-2635,-6304,11982,378,-1589,1352,-66,58,121
8815,-2659,-6309,11994,371,-1659,1337,-38,17,177
8790,-2668,-6298,12016,343,-1615,1322,81,-5,187
8774,-2656,-6268,12046,346,-1645,1336,263,-24,139
8757,-2621,-6216,12093,386,-1516,1371,403,-55,198
8742,-2587,-6155,12142,372,-1541,1407,451,-28,198
8725,-2559,-6097,12189,399,-1554,1439,411,0,224
8701,-2549,-6042,12236,370,-1532,1441,341,41,274
8667,-2548,-5990,12285,357,-1471,1405,290,53,348
8623,-2561,-5950,12333,318,-1474,1398,200,46,393
8571,-2570,-5914,12385,296,-1459,1405,190,2,424
8517,-2574,-5869,12442,274,-1467,1419,253,-12,442
8462,-2573,-5818,12504,270,-1404,1424,282,-19,464
8403,-2580,-5788,12556,260,-1340,1429,124,-42,451
8340,-2603,-5790,12593,231,-1347,1421,-91,-64,425
8273,-2622,-5807,12625,216,-1393,1392,-130,-130,400
8210,-2625,-5816,12661,190,-1357,1397,-56,-183,361
8154,-2612,-5824,12696,171,-1350,1370,-2,-234,295
8109,-2584,-5830,12728,173,-1430,1419,74,-278,207
